glottocode,num_oral_cons,num_nasal_cons,num_oral_vowel,num_nasal_vowel,name,isocodes,level,macroarea,latitude,longitude
sout2956,41.0,6.0,3.0,0.0,Southern Haida,hax,language,North America,53.2616,-132.008
squa1248,28.0,2.0,7.0,0.0,Squamish,squ,language,North America,49.3231,-123.014
sout2965,34.0,2.0,7.0,0.0,Southern Puget Sound Salish,slh,language,North America,47.263,-122.141
nuuc1236,33.0,4.0,10.0,0.0,Nuu-chah-nulth,nuk,language,North America,49.67,-126.67
kwak1269,39.0,4.0,10.0,2.0,Kwak'wala,kwk,language,North America,50.9269,-127.308
east2542,14.0,2.0,7.0,4.0,Eastern Ojibwa,ojg,language,North America,45.0112,-79.7503
unam1242,18.0,4.0,11.0,6.0,Unami,unm,language,North America,40.4,-74.3
wich1260,19.0,2.0,8.0,0.0,Wichita,wic,language,North America,35.0665,-98.1831
lako1247,25.0,2.0,6.0,3.0,Lakota,lkt,language,North America,46.3699,-103.95
sene1264,9.0,2.0,12.0,4.0,Seneca,see,language,North America,42.56,-77.53
onei1249,9.0,1.0,8.0,4.0,Oneida,one,language,North America,43.438742,-75.708106
yuch1247,36.0,2.0,14.0,12.0,Yuchi,yuc,language,North America,35.75,-86.75
alab1237,13.0,2.0,6.0,0.0,Alabama,akz,language,North America,30.76738,-94.62848
tuni1252,16.0,2.0,7.0,0.0,Tunica,tun,language,North America,30.9888,-92.5403
nezp1238,22.0,4.0,10.0,0.0,Nez Perce,nez,language,North America,46.3073,-116.408
nort2952,16.0,2.0,6.0,0.0,Northeast Maidu,nmu,language,North America,40.4102,-120.645
copa1236,19.0,7.0,5.0,1.0,Copainalá Zoque,zoc,language,North America,17.2157,-93.3183
papa1238,18.0,2.0,6.0,0.0,Papantla Totonac,top,language,North America,20.5671,-97.2554
taba1266,23.0,2.0,6.0,6.0,Tabasco Chontal,chf,language,North America,18.1713,-92.7367
tzel1254,23.0,2.0,5.0,0.0,Tzeltal,tzh,language,North America,16.6384,-92.2786
pure1242,23.0,3.0,6.0,0.0,Purepecha,tsz,language,North America,19.2467,-101.631
karo1304,23.0,4.0,9.0,2.0,Karok,kyh,language,North America,41.8228,-123.315
sout2982,25.0,2.0,11.0,0.0,Southeastern Pomo,pom,language,North America,38.9354,-122.599
kumi1248,21.0,4.0,9.0,0.0,Tipai,dih,language,North America,32.331,-116.604
zuni1245,40.0,4.0,10.0,0.0,Zuni,zun,language,North America,35.0056,-108.782
picu1248,24.0,2.0,6.0,6.0,Picuris Northern Tiwa,,language,North America,37.083011,-105.267144
tewa1260,30.0,4.0,12.0,7.0,Rio Grande Tewa,tew,language,North America,35.9053,-106.124
luis1253,20.0,3.0,11.0,0.0,Luiseno-Juaneño,lui,language,North America,33.3184,-116.939
hopi1249,23.0,8.0,18.0,0.0,Hopi,hop,language,North America,35.7653,-110.535
toho1245,16.0,3.0,10.0,0.0,Tohono O'odham,ood,language,North America,31.7973,-111.995
mezq1235,36.0,6.0,9.0,4.0,Mezquital Otomi,ote,language,North America,20.2274,-99.5564
cent2144,37.0,8.0,9.0,6.0,Central Mazahua,maz,language,North America,19.7357,-100.018
chiq1250,18.0,8.0,4.0,4.0,Chiquihuitlán Mazatec,maq,language,North America,18.0541,-96.6659
sanm1295,15.0,4.0,5.0,5.0,San Miguel El Grande Mixtec,mig,language,North America,17.046881,-97.622482
chac1249,20.0,4.0,4.0,0.0,Cha'palaa,cbi,language,South America,0.71489,-79.0508
paez1247,20.0,9.0,6.0,4.0,Páez,pbb,language,South America,2.61516,-76.31254
iton1250,17.0,2.0,6.0,0.0,Itonama,ito,language,South America,-12.80431,-64.35748
sout2991,29.0,3.0,5.0,0.0,South Bolivian Quechua,quh,language,South America,-20.9201,-66.3331
jaqa1244,32.0,4.0,6.0,0.0,Jaqaru,jqr,language,South America,-12.741939,-75.809231
mapu1245,15.0,5.0,6.0,0.0,Mapudungun,arn,language,South America,-38.7392,-71.277
isla1278,15.0,2.0,7.0,5.0,Island Carib,crb,language,North America,15.364795,-61.342957
wapi1253,15.0,2.0,8.0,4.0,Wapishana,wap,language,South America,2.58744,-59.8021
wayu1243,23.0,5.0,12.0,6.0,Wayuu,guc,language,South America,11.395566,-72.199791
asha1243,14.0,3.0,4.0,0.0,Asháninka,cni,language,South America,-11.9311,-73.9073
igna1246,17.0,4.0,4.0,0.0,Ignaciano,ign,language,South America,-15.1188,-65.3993
yane1238,19.0,4.0,6.0,0.0,Yanesha',ame,language,South America,-10.5454,-75.315
shua1257,13.0,3.0,4.0,4.0,Shuar,jiv,language,South America,-3.45136,-78.1892
waim1255,11.0,0.0,6.0,6.0,Waimaha,bao,language,South America,0.30416,-70.1644
ticu1245,14.0,4.0,6.0,5.0,Ticuna,tca,language,South America,-3.66289,-69.8723
gali1262,13.0,3.0,12.0,0.0,Galibi Carib,car,language,South America,5.83772,-56.8323
ocai1244,21.0,6.0,5.0,4.0,Ocaina,oca,language,South America,-2.159,-72.1422
siri1273,12.0,4.0,6.0,6.0,Sirionó,srq,language,South America,-15.5298,-63.9688
para1311,19.0,5.0,6.0,6.0,Paraguayan Guaraní,gug,language,South America,-25.60551,-57.08816
amah1246,12.0,2.0,4.0,4.0,Amahuaca,amc,language,South America,-10.2012,-72.3208
chac1251,15.0,2.0,4.0,0.0,Chácobo,cao,language,South America,-12.133,-66.7164
apin1244,10.0,4.0,21.0,14.0,Apinayé,apn,language,South America,-6.10774,-47.6315
tach1250,41.0,4.0,4.0,0.0,Tachelhit,shi,language,Africa,29.7854,-7.77879
haus1257,30.0,2.0,10.0,0.0,Hausa,hau,language,Africa,11.1513,8.7804
ngas1240,26.0,4.0,11.0,0.0,Ngas,anc,language,Africa,9.32042,9.46146
marg1265,32.0,4.0,6.0,0.0,Marghi Central,mrt,language,Africa,10.93854,13.0521
soma1255,27.0,3.0,20.0,0.0,Somali,som,language,Africa,4.778704,45.152856
awng1244,24.0,4.0,7.0,0.0,Awngi,awn,language,Africa,10.9819,36.6916
iraq1241,29.0,4.0,12.0,0.0,Iraqw,irk,language,Africa,-4.19948,35.2939
tigr1270,43.0,4.0,7.0,0.0,Tigre,tig,language,Africa,17.3494,38.2233
amha1245,46.0,6.0,7.0,0.0,Amharic,amh,language,Africa,11.708182,39.543456
egyp1253,54.0,4.0,9.0,0.0,Egyptian Arabic,arz,language,Africa,31.0,31.0
moro1292,67.0,7.0,4.0,0.0,Moroccan Arabic,ary,language,Africa,32.5,-7.5
malt1254,41.0,4.0,10.0,0.0,Maltese,mlt,language,Eurasia,35.8884,14.4508
hebr1245,21.0,3.0,6.0,0.0,Modern Hebrew,heb,language,Eurasia,31.1056,35.0179
libe1247,14.0,5.0,16.0,11.0,Liberia Kpelle,xpe,language,Africa,6.92048,-9.96128
nucl1347,20.0,6.0,14.0,0.0,Wolof,wol,language,Africa,15.2534,-15.383
dagb1246,19.0,5.0,11.0,0.0,Dagbani,dag,language,Africa,9.64745,-0.43227
akan1250,19.0,0.0,11.0,7.0,Akan,aka,language,Africa,6.34756,-1.33254
gaaa1244,24.0,4.0,9.0,7.0,Ga,gaa,language,Africa,5.65488,-0.18598
ewee1241,22.0,4.0,7.0,9.0,Ewe,ewe,language,Africa,6.46061,0.814975
nucl1417,40.0,5.0,8.0,9.0,Igbo,ibo,language,Africa,4.62705,7.23441
beem1239,16.0,3.0,10.0,10.0,Beembe,beq,language,Africa,-3.95895,14.1
swah1253,25.0,4.0,5.0,2.0,Swahili,swh,language,Africa,-8.25605,37.624
luva1239,14.0,8.0,10.0,0.0,Luvale,lue,language,Africa,-13.5382,22.2924
zulu1248,30.0,3.0,5.0,2.0,Zulu,zul,language,Africa,-28.9,30.2
gbay1287,21.0,10.0,7.0,5.0,Gbaya-Bossangoa,gbp,language,Africa,6.61896,17.645
koyr1242,27.0,6.0,11.0,4.0,Koyraboro Senni Songhai,ses,language,Africa,16.9634,-0.55187
